Itemized Comparison,,,,,,
Project: Global 1,,,,,,
Generated: 11/22/2025,,,,,,
,,,,,,
Item Description,Qty,Unit,Global Fire,,Optimal Fire,
,,,Unit Rate,Total,Unit Rate,Total
Cable Tray Up to 100mm x 400mm,1,ea,$212.29,$212.29,N/A,N/A
Cable Tray Up to 100mm x 600mm,1,ea,$266.47,$266.47,N/A,N/A
Cable Tray Up to 100mm x 800mm,1,ea,$320.69,$320.69,N/A,N/A
Cable Tray Up to 100mm x 1000mm,1,ea,$374.87,$374.87,N/A,N/A
Cable Tray Up to 100mm x 1200mm,1,ea,$429.08,$429.08,N/A,N/A
Cable Tray Up to 100mm x 1400mm,1,ea,$483.29,$483.29,N/A,N/A
26mm Timber Top Plate (Up to 50mm Wide),1,ea,$43.40,$43.40,N/A,N/A
GROUP 7.3 Up to 600mm x 800mm Fire Rated Baffle,1,ea,$157.43,$157.43,N/A,N/A
GROUP 7.4 Passive Fire Labour Fee,1,hr,$80.00,$80.00,N/A,N/A
Hourly Charges Passive Fire Builder Fee,1,hr,$140.00,$140.00,N/A,N/A
Passive Fire Consultation Fee,1,hr,$160.00,$160.00,N/A,N/A
"Ryanfire SL Collar, Allproof Low Profile Pipe Collar, Protecta Fire Collar, Hilti CP644 Collar, Hilti CFS-CC (150mm)",2.1,EA,$0.00,$0.00,N/A,N/A
"Allproof Drop-in Fire Collar, Ryanfire TD Collar, Promat Retrofit Collar",2.1,EA,$0.00,$0.00,N/A,N/A
Boss MaxiCollar,2.1,EA,$0.00,$0.00,N/A,N/A
Protecta Fire Collar,2.2,EA,$0.00,$0.00,N/A,N/A
"Hilti CP644 Collar, Promat Retrofit Collar",2.2,EA,$0.00,$0.00,N/A,N/A
Boss MaxiCollar,2.2,EA,$0.00,$0.00,N/A,N/A
"Protecta Pipe Wrap, Hilti CP648-E, Ryanfire Strap, Allproof Pipe Wrap, Boss Pipe Wrap (1HR)",3.1,EA,$0.00,$0.00,N/A,N/A
"3M Tuck-in Wrap, Trafalgar Pipe Wrap",3.1,EA,$0.00,$0.00,N/A,N/A
"Hilti Putty Bandage, Hilti CFS-B, Boss P40 MAK-Wrap, Bradford 450 Fibertex",3.2,EA,$0.00,$0.00,N/A,N/A
Ryanfire ServoWrap,3.2,EA,$0.00,$0.00,N/A,N/A
Rockwrap 1000mm,3.3,EA,$0.00,$0.00,N/A,N/A
Ryanfire Service Sleeve,4.1,EA,$0.00,$0.00,N/A,N/A
"Boss Cable Transit, Abesco Cable Transit, Hilti CFS-SL",4.1,EA,$0.00,$0.00,N/A,N/A
"Trafalgar Mini-Round, Trafalgar Mini-MS",4.1,EA,$0.00,$0.00,N/A,N/A
"Trafalgar Fyrebox, Boss Fyrebox",4.2,EA,$0.00,$0.00,N/A,N/A
Trafalgar Fyrebox,4.3,EA,$0.00,$0.00,N/A,N/A
"Tenmat FF102, Ryanfire 502 Batt, Ryanfire Ryanspan",5.2,EA,$0.00,$0.00,N/A,N/A
"Bradford Fireseal Party Wall Batt, Superwool, Kaowool 96kg/m3",5.3,EA,$0.00,$0.00,N/A,N/A
Ryanfire Ryanspan,5.4,EA,$0.00,$0.00,N/A,N/A
"Ryanfire Batt, Ryanfire Mastic, Ryanfire Servowrap",6.1,EA,$0.00,$0.00,N/A,N/A
"Ryanfire Batt, Ryanfire Mastic, Ryanfire Servowrap",6.2,EA,$0.00,$0.00,N/A,N/A
"Hilti CFS-F FX, Ryanfire 502 Batt, Protecta Batt, Promat Batt, Boss Batt",7.1,EA,$0.00,$0.00,N/A,N/A
"13mm GIB Fyreline, Ryanfire 502 Batt, Protecta Batt, Promat Batt, Boss Batt",7.2,EA,$0.00,$0.00,N/A,N/A
"13mm GIB Fyreline, GIB Firesound Sealant",7.3,EA,$0.00,$0.00,N/A,N/A
Cable Bundle Up to 40mm Korok Panel 51mm,192,EA,$39.15,"$7,516.80",N/A,N/A
Cable Bundle Up to 40mm 13mm GIB Wall,73,EA,$39.15,"$2,857.95",N/A,N/A
Cable Bundle Up to 40mm 2x 13mm GIB Wall,827,EA,$39.15,"$32,377.05",N/A,N/A
Conduit 20mm 2x 13mm GIB Wall,148,EA,$39.15,"$5,794.20",N/A,N/A
Single Cable Up to 15mm 2x 13mm GIB Wall,3,EA,$26.31,$78.93,N/A,N/A
Single Cable Up to 15mm 13mm GIB Wall,10,EA,$26.31,$263.10,N/A,N/A
Cable Tray 450mm Concrete Wall,24,EA,$266.47,"$6,395.28",N/A,N/A
Cable Tray 300mm Concrete Wall,24,EA,$208.14,"$4,995.36",N/A,N/A
Pex Pipe 16mm 2x 13mm GIB Wall,92,EA,$39.15,"$3,601.80",N/A,N/A
Up to 40mm (OD) Insulation,1,ea.,$53.01,$53.01,N/A,N/A
Patches Batt Patch (Up to 300mm x 300mm),1,ea,$79.09,$79.09,N/A,N/A
PVC Pipe 40mm Concrete Floor,298,EA,$76.78,"$22,880.44",N/A,N/A
PVC Pipe 50mm Concrete Floor,154,EA,$79.35,"$12,219.90",N/A,N/A
PVC Pipe 65mm Concrete Floor,296,EA,$82.18,"$24,325.28",N/A,N/A
PVC Pipe 100mm Concrete Floor,486,EA,$129.38,"$62,878.68",N/A,N/A
PVC Pipe 100mm 13mm GIB Wall,22,EA,$95.03,"$2,090.66",N/A,N/A
PVC Pipe 150mm Concrete Floor,1,EA,$129.38,$129.38,N/A,N/A
Steel Pipe 50mm 2x 13mm GIB Wall,212,EA,$118.82,"$25,183.48",N/A,N/A
Steel Pipe 25mm 13mm GIB Wall,16,EA,$114.04,"$1,824.64",N/A,N/A
Steel Pipe 25mm Korok Panel 51mm,2,EA,$114.04,$228.08,N/A,N/A
Steel Pipe 65mm Korok Panel 51mm,18,EA,$153.51,"$2,763.18",N/A,N/A
Steel Pipe 40mm Korok Panel 51mm,2,EA,$114.04,$228.08,N/A,N/A
Tenmat FF102/50,5.2,M,$93.23,"$108,976.55",N/A,N/A
Ryanfire Ryanspan,5.2,M,$62.69,"$77,440.96",N/A,N/A
Double Fire Door,5,EA,$12.89,"$1,392.12",N/A,N/A
Single Fire Door,5,EA,$12.89,"$17,143.70",N/A,N/A
Lift Door,5,EA,$12.89,"$2,784.24",N/A,N/A
Cable Bundle Up to 40mm Korok Panel 51mm,54,EA,$39.15,"$2,114.10",N/A,N/A
Cable Bundle Up to 40mm Concrete Wall,34,EA,$39.15,"$1,331.10",N/A,N/A
Cable Bundle Up to 40mm Smoke Wall,38,EA,$26.31,$999.78,N/A,N/A
